"ID","Via","Velocidade_Verificada_Km_h","Fila_em_metros","Vel_verificada_ms","Atraso_segundos","Data","Hora","pico","fase","date_brasil"
1,R. Garibaldi,9.31,672,2.58611111111111,164,2019-11-01,07:39:19,manha,atual,01/11/2019
2,R. Santo Antônio,3.83,153,1.06388888888889,118,2019-11-01,07:56:53,manha,atual,01/11/2019
3,Av. Independência,7.04,807,1.95555555555556,329,2019-11-01,07:28:44,manha,atual,01/11/2019
4,R. Sarmento Leite,8.29,319,2.30277777777778,103,2019-11-01,07:17:19,manha,atual,01/11/2019
5,R. Sarmento Leite,9.96,569,2.76666666666667,148,2019-11-01,07:17:19,manha,atual,01/11/2019
6,Av. Independência,9.82,876,2.72777777777778,232,2019-11-01,07:28:44,manha,atual,01/11/2019
7,Av. Osvaldo Aranha,24.68,1191,6.85555555555556,60,2019-11-01,08:58:54,manha,atual,01/11/2019
8,Av. Osvaldo Aranha,9.36,393,2.6,106,2019-11-01,08:23:48,manha,atual,01/11/2019
9,R. Garibaldi,15.58,672,4.32777777777778,59,2019-11-01,08:58:53,manha,atual,01/11/2019
10,R. Santo Antônio,11.31,643,3.14166666666667,100,2019-11-01,08:31:51,manha,atual,01/11/2019
11,R. Garibaldi,8,672,2.22222222222222,206,2019-11-01,08:58:53,manha,atual,01/11/2019
12,Av. Independência,7.95,636,2.20833333333333,224,2019-11-04,08:28:45,manha,atual,01/11/2019
13,Av. Independência,7.87,742,2.18611111111111,262,2019-11-04,08:28:45,manha,atual,01/11/2019
14,Av. Osvaldo Aranha,22.95,970,6.375,61,2019-11-05,07:58:57,manha,atual,01/11/2019
15,Av. Independência,7.51,742,2.08611111111111,279,2019-11-05,08:25:44,manha,atual,01/11/2019
16,R. Sarmento Leite,9.35,509,2.59722222222222,145,2019-11-05,08:25:44,manha,atual,01/11/2019
17,R. Garibaldi,4.49,447,1.24722222222222,294,2019-11-05,08:35:08,manha,atual,01/11/2019
18,R. Santo Antônio,10.73,568,2.98055555555556,94,2019-11-05,08:53:09,manha,atual,01/11/2019
19,Av. Osvaldo Aranha,18.76,764,5.21111111111111,78,2019-11-05,08:57:32,manha,atual,01/11/2019
20,Av. Independência,8.31,876,2.30833333333333,290,2019-11-05,08:25:44,manha,atual,01/11/2019
21,R. Sarmento Leite,8,329,2.22222222222222,112,2019-11-06,08:31:35,manha,atual,01/11/2019
22,R. Tomaz Flores,8.46,422,2.35,99,2019-11-06,08:39:15,manha,atual,01/11/2019
23,R. Garibaldi,8.72,411,2.42222222222222,106,2019-11-06,08:45:08,manha,atual,01/11/2019
24,R. Sarmento Leite,8.49,422,2.35833333333333,135,2019-11-07,08:19:29,manha,atual,01/11/2019
25,Av. Independência,13.82,742,3.83888888888889,117,2019-11-07,08:26:25,manha,atual,01/11/2019
26,R. Garibaldi,6.74,672,1.87222222222222,262,2019-11-07,08:26:28,manha,atual,01/11/2019
27,R. Santo Antônio,6.96,656,1.93333333333333,240,2019-11-07,08:49:03,manha,atual,01/11/2019
28,Av. Osvaldo Aranha,21.25,985,5.90277777777778,73,2019-11-07,08:44:34,manha,atual,01/11/2019
29,R. Sarmento Leite,11.09,647,3.08055555555556,143,2019-11-07,08:19:29,manha,atual,01/11/2019
30,R. Garibaldi,5.72,672,1.58888888888889,327,2019-11-07,08:26:28,manha,atual,01/11/2019
31,R. Tomaz Flores,6.98,258,1.93888888888889,86,2019-11-08,07:54:03,manha,atual,01/11/2019
32,R. Garibaldi,8.61,1020,2.39166666666667,277,2019-11-08,08:28:00,manha,atual,01/11/2019
33,R. Sarmento Leite,13.46,509,3.73888888888889,85,2019-11-08,08:53:53,manha,atual,01/11/2019
34,Av. Osvaldo Aranha,14.17,799,3.93611111111111,124,2019-11-08,08:43:22,manha,atual,01/11/2019
35,R. Garibaldi,10.84,1020,3.01111111111111,190,2019-11-08,08:28:00,manha,atual,01/11/2019
36,R. Sarmento Leite,14,647,3.88888888888889,99,2019-11-11,08:58:31,manha,atual,01/11/2019
